tipo,numero,titulo,compositor,letra_completa,coro,estrofes_json,arquivo,avisos
hino,1,"Cristo, meu Mestre...",Leila Naylor Morris,"1. Cris to, meu Mestre e meu Senhor, Eu Te adoro, por fé, com fervor; Rogo que guardes meu coração; Vem protegêIo com Tua unção E defendêIo, ó meu Guardião.

2. Mestre divino, sempre senti Meu coração dependente de Ti; Bom fundamento dálhe, Se nhor, Dá lhe firmeza, virtude, valor E fortaleza, ó meu Protetor.

3. Vale profundo, chei o de mal, É este mundo, ó Rei divinal. Só Tua força pode manter Santo e puro, na graça, meu ser, Sempre seguro, com fé e poder.

4. Mestre piedoso, com Tua mãc, Faze perfeito o meu coração, Santo,~ardoroso em Te ser vir, Sem pre vol tado aos bens do porvir; Mestre amado, desejo Te ouvir.",,"[{""estrofe"": 1, ""texto"": ""Cris to, meu Mestre e meu Senhor, Eu Te adoro, por fé, com fervor; Rogo que guardes meu coração; Vem protegêIo com Tua unção E defendêIo, ó meu Guardião.""}, {""estrofe"": 2, ""texto"": ""Mestre divino, sempre senti Meu coração dependente de Ti; Bom fundamento dálhe, Se nhor, Dá lhe firmeza, virtude, valor E fortaleza, ó meu Protetor.""}, {""estrofe"": 3, ""texto"": ""Vale profundo, chei o de mal, É este mundo, ó Rei divinal. Só Tua força pode manter Santo e puro, na graça, meu ser, Sempre seguro, com fé e poder.""}, {""estrofe"": 4, ""texto"": ""Mestre piedoso, com Tua mãc, Faze perfeito o meu coração, Santo,~ardoroso em Te ser vir, Sem pre vol tado aos bens do porvir; Mestre amado, desejo Te ouvir.""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-1.mscx,
hino,2,De Deus tu és eleita,Samuel Sebastian Wesley,"1. De Deus tu és eleita, igreja de Jesus, O teu divino Mestre à glória te conduz,Preparate, pois Ele mui breve voltará; A glória que te espera já preparada es tá

2. Com celestiais adornos espera o teu Senhor, Vestida de justiça e do divino amor; Dileta és de Cristo, que vida te doou; A fim de resgatarte, Seu sangue derra mou

3. É grande tua glória, igreja de Jesus; Consagrate a Ele, andando em Su a Iuz,Em breve, no Seu reino, gloriosa entrarás, A face do Esposo, no céu, contemplarás.",,"[{""estrofe"": 1, ""texto"": ""De Deus tu és eleita, igreja de Jesus, O teu divino Mestre à glória te conduz,Preparate, pois Ele mui breve voltará; A glória que te espera já preparada es tá""}, {""estrofe"": 2, ""texto"": ""Com celestiais adornos espera o teu Senhor, Vestida de justiça e do divino amor; Dileta és de Cristo, que vida te doou; A fim de resgatarte, Seu sangue derra mou""}, {""estrofe"": 3, ""texto"": ""É grande tua glória, igreja de Jesus; Consagrate a Ele, andando em Su a Iuz,Em breve, no Seu reino, gloriosa entrarás, A face do Esposo, no céu, contemplarás.""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-2.mscx,
hino,3,Faz-nos ouvir Tua voz,,"1. Faznos ou vir Tua voz gloriosa, Ó nosso Mestre, fiel Redentor;A Tua i greja, dileta esposa, Sente por Ti inefável amor.

Coro: Ó caro Salvador; a Tua voz de a mor Nos guia para o céu, glorioso lar; Pela Palavra vem nos consolar.

2. Ó Jesus Cristo, celeste Esposo, Vem conduzirnos, por Teu grande amor; Já ante vemos, ó Rei majestoso, A glória eterna do Teu esplendor.

Coro: Ó caro Salvador; a Tua voz de a mor Nos guia para o céu, glorioso lar; Pela Palavra vem nos consolar.

3. A Tua gre ja está sea dornando Paraen contrarse Contigo,ó Jesus; Com santas vestes, está aguardando Ver Tua face no reino de Iuz.

Coro: Ó caro Salvador; a Tua voz de a mor Nos guia para o céu, glorioso lar; Pela Palavra vem nos consolar.","Ó caro Salvador; a Tua voz de a mor Nos guia para o céu, glorioso lar; Pela Palavra vem nos consolar.","[{""estrofe"": 1, ""texto"": ""Faznos ou vir Tua voz gloriosa, Ó nosso Mestre, fiel Redentor;A Tua i greja, dileta esposa, Sente por Ti inefável amor.""}, {""estrofe"": 2, ""texto"": ""Ó Jesus Cristo, celeste Esposo, Vem conduzirnos, por Teu grande amor; Já ante vemos, ó Rei majestoso, A glória eterna do Teu esplendor.""}, {""estrofe"": 3, ""texto"": ""A Tua gre ja está sea dornando Paraen contrarse Contigo,ó Jesus; Com santas vestes, está aguardando Ver Tua face no reino de Iuz.""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-3.mscx,
hino,4,Ouve a nossa oração,Bentley Deforest Ackley,"1. Nossos olhos para os céus, ó Deus, nós levantamos; Confiando em Teu amor, a nossa voz alçamos.

Coro: Ouveanossa oração Desde a Tuahabitação; Tua bênção, Teu perdão, Manda, ó Deus piedoso.

2. Refrigério celestial e bálsamo precioso É sentirTe em nosso ser, Pai santo, glorioso.

Coro: Ouveanossa oração Desde a Tuahabitação; Tua bênção, Teu perdão, Manda, ó Deus piedoso.

3. No Teu trono, ó Senhor, recebe nesta hora A humilde oração do povo que Te adora.

Coro: Ouveanossa oração Desde a Tuahabitação; Tua bênção, Teu perdão, Manda, ó Deus piedoso.","Ouveanossa oração Desde a Tuahabitação; Tua bênção, Teu perdão, Manda, ó Deus piedoso.","[{""estrofe"": 1, ""texto"": ""Nossos olhos para os céus, ó Deus, nós levantamos; Confiando em Teu amor, a nossa voz alçamos.""}, {""estrofe"": 2, ""texto"": ""Refrigério celestial e bálsamo precioso É sentirTe em nosso ser, Pai santo, glorioso.""}, {""estrofe"": 3, ""texto"": ""No Teu trono, ó Senhor, recebe nesta hora A humilde oração do povo que Te adora.""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-4.mscx,
hino,5,A Rocha celestial,Leila Naylor Morris,"1. Sábio e prudente será o varão Que a casa na rocha erguer, Sempre terá eficaz proteção, Pois nada a pode abater.

Coro: A Rocha ceIestial É Cristo, o Filho de Deus, O Fundamento eternal De quem busca o reino dos céus.

2. Quem sobre a areia quiser construir, Em vão trabalhado terá, Pois sua casa virá a cair; Em falso alicerce estará.

Coro: A Rocha ceIestial É Cristo, o Filho de Deus, O Fundamento eternal De quem busca o reino dos céus.

3. As tempestades e os ventos virão A todos, com grande furor; Mas os que sobre a Rocha estão, Fir meza terão no Senhor.

Coro: A Rocha ceIestial É Cristo, o Filho de Deus, O Fundamento eternal De quem busca o reino dos céus.","A Rocha ceIestial É Cristo, o Filho de Deus, O Fundamento eternal De quem busca o reino dos céus.","[{""estrofe"": 1, ""texto"": ""Sábio e prudente será o varão Que a casa na rocha erguer, Sempre terá eficaz proteção, Pois nada a pode abater.""}, {""estrofe"": 2, ""texto"": ""Quem sobre a areia quiser construir, Em vão trabalhado terá, Pois sua casa virá a cair; Em falso alicerce estará.""}, {""estrofe"": 3, ""texto"": ""As tempestades e os ventos virão A todos, com grande furor; Mas os que sobre a Rocha estão, Fir meza terão no Senhor.""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-5.mscx,
hino,6,"Glória ao Justo, fiel Cordeiro!",,"1. Ao Cordeiro imaculado, Jesus Cristo, exaltemos,Do Seu Nome falaremos, pois, com infinito amor, Veio à terra, glorioso, com poder e esplendor. Glória ao Justo, fiel Cordeiro, Puro, Santo, Verdadeiro! Pela morte madeiro, Nos reconciliou com Deus.

2. Seguiremos a Jesus Cristo com inteira confiança; Temos viva esperança de che gar a o lar de amor, Dirigidos, amparados pelo sábio Condutor.

3. Só a Cristo daremos glória e louvores em eterno, Pois livrounos do inferno, do pecado e do mal, Para darnos a herança no Seu lar celestial.",,"[{""estrofe"": 1, ""texto"": ""Ao Cordeiro imaculado, Jesus Cristo, exaltemos,Do Seu Nome falaremos, pois, com infinito amor, Veio à terra, glorioso, com poder e esplendor. Glória ao Justo, fiel Cordeiro, Puro, Santo, Verdadeiro! Pela morte madeiro, Nos reconciliou com Deus.""}, {""estrofe"": 2, ""texto"": ""Seguiremos a Jesus Cristo com inteira confiança; Temos viva esperança de che gar a o lar de amor, Dirigidos, amparados pelo sábio Condutor.""}, {""estrofe"": 3, ""texto"": ""Só a Cristo daremos glória e louvores em eterno, Pois livrounos do inferno, do pecado e do mal, Para darnos a herança no Seu lar celestial.""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-6.mscx,
hino,7,"Granjeai, granjeai os talentos",João Dieners,"1. Os talentos Jesus nos tem dado, Dons celestes de grande valor,Nós devemos, com todo o cuidado, Granjeálos, servindo ao Senhor.

Coro: Granjeai, granje ai os talentos; Sobre o muito o Senhor vos porá; Vigiai e estai sempre atentos, Eis que Ele à porta está.

2. Se em tudo nós formos prudentes, Se fiéis o Senhor nos achar, Herdaremos Seus bens permanentes No repouso da glória sem par.

Coro: Granjeai, granje ai os talentos; Sobre o muito o Senhor vos porá; Vigiai e estai sempre atentos, Eis que Ele à porta está.

3. Diligentes obreiros sejamos, Pois os frutos Jesus vai pedir,Os talentos, jamais escondamos, Se quisermos a gló ria fruir.

Coro: Granjeai, granje ai os talentos; Sobre o muito o Senhor vos porá; Vigiai e estai sempre atentos, Eis que Ele à porta está.","Granjeai, granje ai os talentos; Sobre o muito o Senhor vos porá; Vigiai e estai sempre atentos, Eis que Ele à porta está.","[{""estrofe"": 1, ""texto"": ""Os talentos Jesus nos tem dado, Dons celestes de grande valor,Nós devemos, com todo o cuidado, Granjeálos, servindo ao Senhor.""}, {""estrofe"": 2, ""texto"": ""Se em tudo nós formos prudentes, Se fiéis o Senhor nos achar, Herdaremos Seus bens permanentes No repouso da glória sem par.""}, {""estrofe"": 3, ""texto"": ""Diligentes obreiros sejamos, Pois os frutos Jesus vai pedir,Os talentos, jamais escondamos, Se quisermos a gló ria fruir.""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-7.mscx,
hino,8,"Oh! Vem, sim, vem",Peter Philip Bilhorn,"1. Nesta terrena vida, ó justo Redentor, São grandes os combates aos Teus fiêis, Senhor.

Coro: Oh! Vem, sim, vem nos alegrar, Senhor; És nossa Esperança e nosso Defensor.

2. No mundo há vaidade, muita tristeza e dor, Mas Teus remidos sentem a Tua paz e amor.

Coro: Oh! Vem, sim, vem nos alegrar, Senhor; És nossa Esperança e nosso Defensor.

3. Do cêu Te es peramos, glo rioso, eterno Rei; Tu ês veraz Pastor e nós somos Tua grei.

Coro: Oh! Vem, sim, vem nos alegrar, Senhor; És nossa Esperança e nosso Defensor.","Oh! Vem, sim, vem nos alegrar, Senhor; És nossa Esperança e nosso Defensor.","[{""estrofe"": 1, ""texto"": ""Nesta terrena vida, ó justo Redentor, São grandes os combates aos Teus fiêis, Senhor.""}, {""estrofe"": 2, ""texto"": ""No mundo há vaidade, muita tristeza e dor, Mas Teus remidos sentem a Tua paz e amor.""}, {""estrofe"": 3, ""texto"": ""Do cêu Te es peramos, glo rioso, eterno Rei; Tu ês veraz Pastor e nós somos Tua grei.""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-8.mscx,
hino,9,Luminosa é a senda,Silas Jones Vail,"1. Luminosa é a senda Que conduz, por fé, a Deus, Não há nada que me prenda Nem detenha os passos meus.

Coro: Que prazer é viver com o meu bom Jesus! Na tristeza e na alegria sinto em mim a Sua luz.

2. Jubiloso, eu prossigo Para a glória eternal, Sei que Crisestá comigo, Protegendome do mal.

Coro: Que prazer é viver com o meu bom Jesus! Na tristeza e na alegria sinto em mim a Sua luz.

3. Jesus Cristo me consola Quando estou em aflição; Seu Espírito controla Minha mente e coração.

Coro: Que prazer é viver com o meu bom Jesus! Na tristeza e na alegria sinto em mim a Sua luz.",Que prazer é viver com o meu bom Jesus! Na tristeza e na alegria sinto em mim a Sua luz.,"[{""estrofe"": 1, ""texto"": ""Luminosa é a senda Que conduz, por fé, a Deus, Não há nada que me prenda Nem detenha os passos meus.""}, {""estrofe"": 2, ""texto"": ""Jubiloso, eu prossigo Para a glória eternal, Sei que Crisestá comigo, Protegendome do mal.""}, {""estrofe"": 3, ""texto"": ""Jesus Cristo me consola Quando estou em aflição; Seu Espírito controla Minha mente e coração.""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-9.mscx,
hino,10,Prossegui vitoriosos em Cristo,,"1. Prossegui vitoriosos em Cristo, Ele em breve, dos céus vai voltar; Mandará recolher Seus remidos Para, à glória eterna, le

Coro: var. mor. rá. Certamente exaltado será Quem o Nome de Cristo não negar; Exaltado com glória celestial, Herdará a riqueza eternal.

2. Prossegui, rejeitando o pecado, Pois ireis encontrar o Senhor; Para vós, Ele tem preparado Um lugar no Seu reino de a

Coro: var. mor. rá. Certamente exaltado será Quem o Nome de Cristo não negar; Exaltado com glória celestial, Herdará a riqueza eternal.

3. Pros segui nesta fé glori osa, O i nimigo de vós fugirá,Vigiai na oração, no cuidado, E convosco Jesus esta

Coro: var. mor. rá. Certamente exaltado será Quem o Nome de Cristo não negar; Exaltado com glória celestial, Herdará a riqueza eternal.","var. mor. rá. Certamente exaltado será Quem o Nome de Cristo não negar; Exaltado com glória celestial, Herdará a riqueza eternal.","[{""estrofe"": 1, ""texto"": ""Prossegui vitoriosos em Cristo, Ele em breve, dos céus vai voltar; Mandará recolher Seus remidos Para, à glória eterna, le""}, {""estrofe"": 2, ""texto"": ""Prossegui, rejeitando o pecado, Pois ireis encontrar o Senhor; Para vós, Ele tem preparado Um lugar no Seu reino de a""}, {""estrofe"": 3, ""texto"": ""Pros segui nesta fé glori osa, O i nimigo de vós fugirá,Vigiai na oração, no cuidado, E convosco Jesus esta""}]",docs/ccb-hinario-5-do/do/musescore/xml/hino-10.mscx,
