tipo,numero,titulo,secao,estrofe,texto,arquivo
hino,1,"Cristo, meu Mestre...",estrofe,1,"Cris to, meu Mestre e meu Senhor, Eu Te adoro, por fé, com fervor; Rogo que guardes meu coração; Vem protegêIo com Tua unção E defendêIo, ó meu Guardião.",docs/ccb-hinario-5-do/do/musescore/xml/hino-1.mscx
hino,1,"Cristo, meu Mestre...",estrofe,2,"Mestre divino, sempre senti Meu coração dependente de Ti; Bom fundamento dálhe, Se nhor, Dá lhe firmeza, virtude, valor E fortaleza, ó meu Protetor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-1.mscx
hino,1,"Cristo, meu Mestre...",estrofe,3,"Vale profundo, chei o de mal, É este mundo, ó Rei divinal. Só Tua força pode manter Santo e puro, na graça, meu ser, Sempre seguro, com fé e poder.",docs/ccb-hinario-5-do/do/musescore/xml/hino-1.mscx
hino,1,"Cristo, meu Mestre...",estrofe,4,"Mestre piedoso, com Tua mãc, Faze perfeito o meu coração, Santo,~ardoroso em Te ser vir, Sem pre vol tado aos bens do porvir; Mestre amado, desejo Te ouvir.",docs/ccb-hinario-5-do/do/musescore/xml/hino-1.mscx
hino,2,De Deus tu és eleita,estrofe,1,"De Deus tu és eleita, igreja de Jesus, O teu divino Mestre à glória te conduz,Preparate, pois Ele mui breve voltará; A glória que te espera já preparada es tá",docs/ccb-hinario-5-do/do/musescore/xml/hino-2.mscx
hino,2,De Deus tu és eleita,estrofe,2,"Com celestiais adornos espera o teu Senhor, Vestida de justiça e do divino amor; Dileta és de Cristo, que vida te doou; A fim de resgatarte, Seu sangue derra mou",docs/ccb-hinario-5-do/do/musescore/xml/hino-2.mscx
hino,2,De Deus tu és eleita,estrofe,3,"É grande tua glória, igreja de Jesus; Consagrate a Ele, andando em Su a Iuz,Em breve, no Seu reino, gloriosa entrarás, A face do Esposo, no céu, contemplarás.",docs/ccb-hinario-5-do/do/musescore/xml/hino-2.mscx
hino,3,Faz-nos ouvir Tua voz,estrofe,1,"Faznos ou vir Tua voz gloriosa, Ó nosso Mestre, fiel Redentor;A Tua i greja, dileta esposa, Sente por Ti inefável amor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-3.mscx
hino,3,Faz-nos ouvir Tua voz,estrofe,2,"Ó Jesus Cristo, celeste Esposo, Vem conduzirnos, por Teu grande amor; Já ante vemos, ó Rei majestoso, A glória eterna do Teu esplendor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-3.mscx
hino,3,Faz-nos ouvir Tua voz,estrofe,3,"A Tua gre ja está sea dornando Paraen contrarse Contigo,ó Jesus; Com santas vestes, está aguardando Ver Tua face no reino de Iuz.",docs/ccb-hinario-5-do/do/musescore/xml/hino-3.mscx
hino,3,Faz-nos ouvir Tua voz,coro,,"Ó caro Salvador; a Tua voz de a mor Nos guia para o céu, glorioso lar; Pela Palavra vem nos consolar.",docs/ccb-hinario-5-do/do/musescore/xml/hino-3.mscx
hino,4,Ouve a nossa oração,estrofe,1,"Nossos olhos para os céus, ó Deus, nós levantamos; Confiando em Teu amor, a nossa voz alçamos.",docs/ccb-hinario-5-do/do/musescore/xml/hino-4.mscx
hino,4,Ouve a nossa oração,estrofe,2,"Refrigério celestial e bálsamo precioso É sentirTe em nosso ser, Pai santo, glorioso.",docs/ccb-hinario-5-do/do/musescore/xml/hino-4.mscx
hino,4,Ouve a nossa oração,estrofe,3,"No Teu trono, ó Senhor, recebe nesta hora A humilde oração do povo que Te adora.",docs/ccb-hinario-5-do/do/musescore/xml/hino-4.mscx
hino,4,Ouve a nossa oração,coro,,"Ouveanossa oração Desde a Tuahabitação; Tua bênção, Teu perdão, Manda, ó Deus piedoso.",docs/ccb-hinario-5-do/do/musescore/xml/hino-4.mscx
hino,5,A Rocha celestial,estrofe,1,"Sábio e prudente será o varão Que a casa na rocha erguer, Sempre terá eficaz proteção, Pois nada a pode abater.",docs/ccb-hinario-5-do/do/musescore/xml/hino-5.mscx
hino,5,A Rocha celestial,estrofe,2,"Quem sobre a areia quiser construir, Em vão trabalhado terá, Pois sua casa virá a cair; Em falso alicerce estará.",docs/ccb-hinario-5-do/do/musescore/xml/hino-5.mscx
hino,5,A Rocha celestial,estrofe,3,"As tempestades e os ventos virão A todos, com grande furor; Mas os que sobre a Rocha estão, Fir meza terão no Senhor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-5.mscx
hino,5,A Rocha celestial,coro,,"A Rocha ceIestial É Cristo, o Filho de Deus, O Fundamento eternal De quem busca o reino dos céus.",docs/ccb-hinario-5-do/do/musescore/xml/hino-5.mscx
hino,6,"Glória ao Justo, fiel Cordeiro!",estrofe,1,"Ao Cordeiro imaculado, Jesus Cristo, exaltemos,Do Seu Nome falaremos, pois, com infinito amor, Veio à terra, glorioso, com poder e esplendor. Glória ao Justo, fiel Cordeiro, Puro, Santo, Verdadeiro! Pela morte madeiro, Nos reconciliou com Deus.",docs/ccb-hinario-5-do/do/musescore/xml/hino-6.mscx
hino,6,"Glória ao Justo, fiel Cordeiro!",estrofe,2,"Seguiremos a Jesus Cristo com inteira confiança; Temos viva esperança de che gar a o lar de amor, Dirigidos, amparados pelo sábio Condutor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-6.mscx
hino,6,"Glória ao Justo, fiel Cordeiro!",estrofe,3,"Só a Cristo daremos glória e louvores em eterno, Pois livrounos do inferno, do pecado e do mal, Para darnos a herança no Seu lar celestial.",docs/ccb-hinario-5-do/do/musescore/xml/hino-6.mscx
hino,7,"Granjeai, granjeai os talentos",estrofe,1,"Os talentos Jesus nos tem dado, Dons celestes de grande valor,Nós devemos, com todo o cuidado, Granjeálos, servindo ao Senhor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-7.mscx
hino,7,"Granjeai, granjeai os talentos",estrofe,2,"Se em tudo nós formos prudentes, Se fiéis o Senhor nos achar, Herdaremos Seus bens permanentes No repouso da glória sem par.",docs/ccb-hinario-5-do/do/musescore/xml/hino-7.mscx
hino,7,"Granjeai, granjeai os talentos",estrofe,3,"Diligentes obreiros sejamos, Pois os frutos Jesus vai pedir,Os talentos, jamais escondamos, Se quisermos a gló ria fruir.",docs/ccb-hinario-5-do/do/musescore/xml/hino-7.mscx
hino,7,"Granjeai, granjeai os talentos",coro,,"Granjeai, granje ai os talentos; Sobre o muito o Senhor vos porá; Vigiai e estai sempre atentos, Eis que Ele à porta está.",docs/ccb-hinario-5-do/do/musescore/xml/hino-7.mscx
hino,8,"Oh! Vem, sim, vem",estrofe,1,"Nesta terrena vida, ó justo Redentor, São grandes os combates aos Teus fiêis, Senhor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-8.mscx
hino,8,"Oh! Vem, sim, vem",estrofe,2,"No mundo há vaidade, muita tristeza e dor, Mas Teus remidos sentem a Tua paz e amor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-8.mscx
hino,8,"Oh! Vem, sim, vem",estrofe,3,"Do cêu Te es peramos, glo rioso, eterno Rei; Tu ês veraz Pastor e nós somos Tua grei.",docs/ccb-hinario-5-do/do/musescore/xml/hino-8.mscx
hino,8,"Oh! Vem, sim, vem",coro,,"Oh! Vem, sim, vem nos alegrar, Senhor; És nossa Esperança e nosso Defensor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-8.mscx
hino,9,Luminosa é a senda,estrofe,1,"Luminosa é a senda Que conduz, por fé, a Deus, Não há nada que me prenda Nem detenha os passos meus.",docs/ccb-hinario-5-do/do/musescore/xml/hino-9.mscx
hino,9,Luminosa é a senda,estrofe,2,"Jubiloso, eu prossigo Para a glória eternal, Sei que Crisestá comigo, Protegendome do mal.",docs/ccb-hinario-5-do/do/musescore/xml/hino-9.mscx
hino,9,Luminosa é a senda,estrofe,3,Jesus Cristo me consola Quando estou em aflição; Seu Espírito controla Minha mente e coração.,docs/ccb-hinario-5-do/do/musescore/xml/hino-9.mscx
hino,9,Luminosa é a senda,coro,,Que prazer é viver com o meu bom Jesus! Na tristeza e na alegria sinto em mim a Sua luz.,docs/ccb-hinario-5-do/do/musescore/xml/hino-9.mscx
hino,10,Prossegui vitoriosos em Cristo,estrofe,1,"Prossegui vitoriosos em Cristo, Ele em breve, dos céus vai voltar; Mandará recolher Seus remidos Para, à glória eterna, le",docs/ccb-hinario-5-do/do/musescore/xml/hino-10.mscx
hino,10,Prossegui vitoriosos em Cristo,estrofe,2,"Prossegui, rejeitando o pecado, Pois ireis encontrar o Senhor; Para vós, Ele tem preparado Um lugar no Seu reino de a",docs/ccb-hinario-5-do/do/musescore/xml/hino-10.mscx
hino,10,Prossegui vitoriosos em Cristo,estrofe,3,"Pros segui nesta fé glori osa, O i nimigo de vós fugirá,Vigiai na oração, no cuidado, E convosco Jesus esta",docs/ccb-hinario-5-do/do/musescore/xml/hino-10.mscx
hino,10,Prossegui vitoriosos em Cristo,coro,,"var. mor. rá. Certamente exaltado será Quem o Nome de Cristo não negar; Exaltado com glória celestial, Herdará a riqueza eternal.",docs/ccb-hinario-5-do/do/musescore/xml/hino-10.mscx
hino,11,"Ó igreja de Deus, resplandece",estrofe,1,"Ó igreja de Deus, resplandece E alegrate, de coração, Espalhando a semente celes te, Anunciando a veraz salvação.",docs/ccb-hinario-5-do/do/musescore/xml/hino-11.mscx
